"review","sentiment","reviewer","score","type","stay"
"Highly refommended.. very nice place.. food was good.. I would stay here again.. service was good as well with mas Aan and mba Melina..both excelent service and friendly staff  <U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB>  Good luck tentrem yogyakarta!","Positive","Nindya Hadiwodjojo",5,"Traveled with family","November 2020"
"We had a very good massage, Hidla, Muyas and Icha took care of all details to make us feel real luxury experience from recepcion to the treatment. Massage techniques were very professional, you can see they are well trained for that, and very important, they respect the time for the massage!, something that seems difficult in other places.","Positive","MarieC",5,"Traveled with family","November 2020"
"full body massage by Hilda and Yanti. me and my friend got the full body Javanese Massage. It was a very relaxing, I even slept during the massage. best relaxing massage we ever had in a while. thank you","Positive","mabel",5,"Traveled with family","November 2020"
"Everything is excellent, you have to check the drawer inside the room, under the TV Set all your need is there, including ""TOLAK ANGIN"" .   The Gaharu Spa also giving you good service, all member of my family try the gaharu Spa at Lower Ground. Thanks to Hilda, Icha, Maria, Yuna and Yani whom done their job well.","Positive","Andi Laurencius",5,"Traveled with family","October 2020"
"second experience @tentrem still peaceful n uniq, breakfast so nusantara with 'tolak angin' ice cream, do not forget to get wet in pool, last but not least, excellent serve@tentrem hotel jogja lounge 8th fl, thx mr wahyu n mr. anan..cu next #hope cov 19 immediatly gone & Godbless Indonesia!","Positive","mamat syaban",5,"Traveled on business","November 2020"
"I stayed with my family at Tentrem Hotel for the long weekend. Excellent rooms, clean and spacious. The food was also excellent. One dinner I had at the Kayumanis brings out excellent food and also excellent service from Mr. Zayn. Would recommend easily","Positive","Dominic B",5,"Traveled with family","November 2020"
"The taste of food so delicious.. I recommend oxtail grill soup & fish n chips for kids menu..!! like the ambience too.. so Cozy & full of music.. Thanks to Ms Rizky & Meisi already give good service to us.. <U+263A><U+FE0F>","Positive","Risma Nur A",4,"Traveled with family","October 2020"
"First time stay at Hotel Tentrem Yogyakarta and first experience with Tentrem Hotel group. Excellent Service provided by staff members of the Hotel, especially by I. Setyabudi for F&B matters & Aaz for services in the executive lounge. Memorable Tranquil Holiday time with Family in Yogyakarta. Excellent Nasi Gudeg too! ","Positive","Randy Nangoy",5,"Traveled with family","October 2020"
"Very nice Hotel. Nice Room. Nice Food. And have a nice pool and gym! All of staff also very nice. And I really have the Best Massage in Gaharu Spa with Mba Hilda!  I will massage and stay here again for next staycation <U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F>  ","Positive","Falicia",5,"Traveled with family","October 2020"
"Have a birthday dinner at Kayu Manis Resto, love the ambiance and food, especially the roasted and peking duck. Nice service and good for price. I really recommend the place if you visiting Yogyakarta. Thank you Chef Habib and service team :)","Positive","LAD",5,"Traveled on business","October 2020"
"Frozen beer nya gokiiiiiiiiilllllll Pelayanan yg RUARRR BIASAAAAA Thanks a lot for Mr Edi dengan welcome home drink nya ;) Thanks a lot to Mr Oki untuk keramahtamahan nya and Thanks to all Eboni staff untuk setiap sambutannya yang hangat.. CHEEERRSSS EBONI","Positive","David Ps",5,"Traveled with family","October 2020"
"A good venue to hang out and chill with friends. The foods are good, well served and well taste. The waitress (Mba Dewi) is so polite, friendly and very helpful. Also during pandemic, covid protocol was well applied so that all customers will feel secure.","Positive","Datuk W",5,"Traveled with family","October 2020"
"We visited Hotel Tentrem in Oct 2020 while the world was still afraid of COVID-19. I have to admit, the hotel took all possible precautions to keep its guest and staff safe. One example being, disinfecting the room with a spray several times a day even while the guests were in the room. They also had temp checks, hand sanitisers etc and a limited amount of guest were allowed to dine at one given time. What we loved most was its proximity to the bustling city and also the convenience of having smaller hotels and food stalls on the roadside which helped us accommodate the needs of our driver & maid. The staff were beyond amazing. Very friendly, hospitable and chatty, if you're up for a chat. Meisi from F &B was 1 girl that stood out from the crowd, with her extra sweet nature and…","Positive","Nidhi Fernandez",5,"Traveled with family","October 2020"
"tempat breakfast rapi, bersih,  dan taat protokol. jadi makan aman dan nyaman. staf ramah.  feel glad to choose this hotel. Hahah I was surprised with every single thing happened. But yeah, thanks to those two guys and for the whole hotel staffs for making my staying experience became awesome and unforgettable. Cheers!","Positive","Nofa D",5,"Traveled with family","October 2020"
"Tentrem Hotel has always been our little family staying choice in Jogjakarta..Thank you for the hospitality..especially for today.. Daddy's suprise birthday party & cake from the hotel crew..To : Executive Assistant Manager,Mr.Irman,Melina, Ferri & Wildan..thanks a bunch! <U+0001F60A> See you next month!","Positive","Dinny",5,"Traveled on business","October 2020"
"I have never been feeling really comfortable and appreciated by all the hotel staffs before I experienced staying and chilling in Tentrem Hotel YK. I've travelled around the world and explored numerous hotels before, but this hotel actually serves the best and the most polite service. Nonetheless, the one simple thing that made me feel appreciated was when I had my breakfast in Kayumanis restaurant (inside Tentrem Hotel), I ordered iced cappuccino but unfortunately, based on the basic regulation, it's only allowed to order hot coffees. However, I would like to say thank you and I totally appreciate Mr. William dan Mr. Novan who totally understand my young soul who likes iced coffee and cold things more than anything else by surprisingly brought 2 glasses of iced cappuccino and 1…","Positive","Nabila S",5,"Traveled with family","September 2020"
"tempat breakfast rapi, bersih, safe dan taat protokol. jadi makan aman dan nyaman  the croissant is my favorite.  staf ramah dan sangat helpful <U+0001F970>  feel glad to choose this hotel. thank you so much   staff: selvia","Positive","nisma b",5,"Traveled with family","September 2020"
"The service here is nice, and the employees are really easygoing. Their speciality here is the roasted duck and their fried rice. I recommend ordering half a duck instead of a full duck as it is quite filling. Overall, it is a great place to eat and has even better food.","Positive","Jason T",5,"Traveled with family","September 2020"
"Itu mbak nya yg silvia kerjanya bagus ! Well done. The food is good and clean. The jamu traditional is also good. I love to stay in tentrem yogyakarta. The room also excellent and the employees are friendly. Recommended !","Positive","Yogi soesanto",5,"Traveled with family","September 2020"
"Excellent prime location, beautiful hotel with great art pieces decoration. Complete and modern in-room amenities. Provide high level of sanitation procedures and amenities. But what i like the most, is the staff. They're so genuine, polite and helpful. Friendly but yet still giving enough room for your personal space.  Ps: also thumbs up for great job done by Chef Alif and team :)","Positive","poly_only",4,"Traveled on business","September 2020"
"We were there in the beginning of pandemic covid19. The hotel has ready with standard health protocol (thermal check and hand sanitizers) The room was so so. The lobby ambience was nice. there re many unique spots for taking photos. I love the staff’s uniform, looking elegant and professional tho","Positive","Sang Ayutu Parashita",5,"Traveled with family","March 2020"
"My family have visited this hotel multiple times and are always satisfied with their services. Especially during this pandemic, they kept cleanliness for the hotel rooms & restaurant. One of the restaurant waiter, Mas Andika, was very nice and helpful, he also provided us with top service always asked us for what we need & want.","Positive","regi",5,"Traveled with family","September 2020"
"The room was spacious, just enough for a family consisting of 4 person. The big is huge, sleeping ameneties were 5 stars quality as expected. But the breeakfast was so-so. During Covid-19 the buffett was served but guests cannot take the food by themselves. Staffs were helping them to serve the food. We didn't try the swimming pool, but the gym was also great and have luxury vibes.","Positive","NatashaIskandar",5,"Traveled with family","August 2020"
"Good implemetation of social distancing and safety protocol.<U+0001F44D><U+0001F3FB><U+0001F44D><U+0001F3FB> Food was great, nice staff.  Good place to stay. Room was ok can improve on sound insulation especially. Reception was ok. Lastly thank you for birthday cake <U+0001F600><U+0001F600><U+0001F600>","Positive","Arfindi B",5,"Traveled with family","August 2020"
"The Hotel is very good and peace confortable expecialy the food n the kayu manis we like so many kinds of Jamu We thanks for Mr Habib who serve us very good nice and polite and bring so many kinds of food. We love to Stay here.","Positive","Gloria P",5,"Traveled on business","August 2020"
"Tentrem Hotel Yogyakarta, one of the most prestigious and well known 5 Stars hotel in Yogyakarta. Owned by the conglomerate family of SidoMuncul, Tolak Angin is easy to find when you are staying in this hotel.   Beautiful Hotel Lobby, Excellent Gym area and equipments, Great Swimming Pool, and Very Spacious Hotel Room. You’ll get a 200x200cm size for a Double Bed Deluxe Room. Love it!   Breakfast was delicious. Wide variety from local to international cuisines here. Don’t forget to try their Nasi Liwet stall, Single Origin filter coffee, and of course Tolak Angin Ice Cream. Best!","Positive","Vincent Christanto",5,"Traveled with family","August 2020"
"Hotel Tentrem is the first hotel we visited during this pandemic and the health protocol implemented here is beyond my expectation! Hand washing facilities are available on the basement (parking area) entrance and the main entrance, hand sanitizers are everywhere, I even got a ‘corona finger’ upon check-in.  I got a really warm welcome upon check in with Ms. Astrid & Mrs. Natalie, they explained all the hotel facilities and the health protocol here detail and impressive. They even grant my early check in request and I got my room ready once I arrived here. Room is spacious and cleaned. Towels, hotel slippers, and glasses are wrapped in plastic. Mrs. Frizka in batik and jamu outlet in lobby is really welcoming and attentively answered all my question. Pool attendants were all…","Positive","Carolina E",5,"Traveled with family","August 2020"
"Love this hotel, clean room and comfortable, also great location, would definitely recommend and would certainly stay here again. Thanks for the compliment of our anniversary yesterday. WE enjoyed our stay at your hotel.","Positive","LUCY",5,"Traveled with family","August 2020"
"A very pleasant and comfortable experience stay during the time of covid. Health protocol is well maintained. Room cleaning and service is excellent. Social distancing in Kayu Manis restaurant during breakfast is well implemented. Special shout out to mr irwan at Kayu Manis for a good hospitality","Positive","Bella p",4,"Traveled with family","August 2020"
"The ethnic java with modern styles you will be feel in this 5 stars hotel in yogyakarta . The hotel is a clean and tidy even in a public restroom . For a welcome drink you will feels the taste of herbal drink from indonesia ( we are calling JAMU ) they provide also in a buffet breakfast and special ice cream herbal ( in this hotel only - tolak angin ice cream ) they have swimming pools for kids as well and playground for the kids . ","Positive","Ferdi Prasetya",5,"Traveled on business","August 2020"
"Kind of modern and traditional concept in one design, quite nice in term of building quality as 5 Star hotel and known as one of the best 5 star hotel in Yogya, my conclusion: -	room was convenience, quite big and well decorated for standard room, I love the room. -	Swimming pool was average, less resort feels, but still okay for business trip. -	Kids Club was superb! The best in Indonesia (maybe?), truly large and suit for family with kids -	 I like the welcome drink! the taste was on point, could reflect Indonesian  -	Breakfast was average, but their Tolak Angin ice cream was big deal, must try list. - gym and sauna was okay for 5 star hotel I hope the hotel always keep their building quality at the highest standard, because when I looked around from the balcony, I saw brown…","Positive","traveloque",5,"Traveled with family","February 2020"
"Great services from the staff! Thanks for bringing the joy to us. Great cake, great food, great service! And I got compliment cake too from them. This restaurant applied all health protocols, so we don't have to be worry","Positive","Reza Ryan",5,"Traveled with family","August 2020"
"Nice and clean room, breakfast was busy, but well managed with many choices of food.the single origin coffee were exquisite. Very helpful and friendly staff. (especially) William).The pool was awesome. Totally well spent staycation.<U+0001F44D><U+0001F44D>","Positive","Ronny A",5,"Traveled with family","August 2020"
"Very good service and especially during this time of pandemic situation hotel maintains excellent protocol.  Will recommend this hotel for staycation.  Restaurant kayu manis is really good and have tasty breakfast menu. Staffs maintain great protocols and service of food and beverages were excellent.","Positive","Syed Hameed",5,"Traveled with family","July 2020"
"Very good service during the time of covid, they maintain the protocol and adviced to stay here during the new normal and during regular days.  Very good and adviced to stay here. They have an excellent Swimming Pool and Gym facilities.  Room is clean and room service is excellent.","Positive","Fitriana M",5,"Traveled on business","July 2020"
"This was my second visit to this hotel after many months ago, and it did not disappoint. The hotel itself had all the services you'd expect from the 5 stars. The checkin was easy, they'd confirm the housekeeping time to make sure it will fit your schedule nicely. The sense of elegance and everything is so pleasing to the eye. Staffs were polite kind and they seemed to genuinely care for our every need. Breakfast was amazing!!! Special mention to mrs naomi, natalia and joana who were so lovely, i am very impressed by the service, theyre so helpful, eager to assist. ","Positive","martin5",5,"Traveled with family","July 2020"
"We stayed in the executive suite floor and had the best experience in the executive lounge with the friendliest help from Ms Tika. Would totaly recommend it to anyone who’s going to stay in Jogjakarta. A little extra splurge for the suite goes a long long way, definitely worth it!","Positive","Aditya N",5,"Traveled with family","July 2020"
"This hotel is very comfortable and worth at cost. Nice place to stay either for business or family vacation. The large room makes our stay more comfortable. Very recommended 5 stars hotel in Jogjakarta","Positive","Arie K",5,"Traveled with family","June 2020"
"one of the best hotel and serves the best bakeries in jogja. good hospitality. everyone did a very good job. i enjoyed staying here.   the bar is cozy too.  everything’s affordable for a 5 star hotel!!!!","Positive","Nash H",5,"Traveled with family","June 2020"
"Thank you for mas william for being really attentive. Impeccable service. The restaurant service still the same as the first time i visited long time ago. The tolak angin ice cream is a must to try, a very unique experience really. Thank you Tentrem and Kayu Manis","Positive","Martin S",5,"Traveled on business","June 2020"
"I always be here for any kind purposes. So much happy with all the service and treatment and facilities..  also, loveeee shopping Gallery Sido Muncul... never fail to satisfy my happiness <U+0001F60D><U+0001F60D><U+0001F60D>  At Resto Kayu Manis... Mas William, serving us in such a Beautiful polite One!!! Happy so much...  Thank youuuuu Tentrem... You are the star of the hospitality industry <U+0001F970><U+0001F970><U+0001F970><U+0001F339><U+0001F339><U+0001F339><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F>","Positive","Maya R",5,"Traveled with family","June 2020"
"One of the best place to stay when you visiting Yogyakarta, friendly and helpful staffs, tasty food in the restaurant, room not too big but clean and comfy. Amazing health facilities, they provide spacious fitness center and sauna. Overall that was enjoyable moment.","Positive","R_Wido",4,"Traveled with family","March 2020"
"Wow we went to train and have a swim today and after all that I ordered my usual coffee but as I have been complaing about the size of the coffee previously OKTA made a great coffee for me and I think its the best in Jogjakarta without a doubt.Thank you OKTA for making this great coffee.You make the best and I will continue to visit the pool bar with all of my friends also.Once again great work OKTA and thanks.","Positive","garryjessop",5,"Traveled with family","May 2020"
"The hotel is huge with traditional touch. Lemon grass fragrance is my fav. Special thanks to Ms.Mikha at the front desk who introduce me to a local drink ""jamu"" and give me some recommended places during my stay and the man at the pool bar who is very nice and friendly.","Positive","Dragonnest",5,"Traveled with family","February 2020"
"Countless number of staying here. Tentrem gives service at its best without leaving local’s touch. We will get traditional experience in Jogjakarta with great various local food for breakfast.  Recommended :  Kupat Tahu Magelang, Roti Kukus, Jamu Beras Kencur.  And surprisingly the Mie Jawa here is the besssst!  As twin mom, they provide baby cribs, baby chair event sterilizer! Amazing.  Never failed to stay here!   Thanks special to these people gives us help:  Mr Supriyanto Mr Saut, Mr Aaz, Mr Ego, Ms Nesya, Ms Astri at Front Officer Mr Vincent at Breakfast place.  Very great service","Positive","Kania Andriny",5,"Traveled on business","March 2020"
"Splendid breakfast and service. My family and I stayed for three days and we did not regret anything. Go here if you’re looking to experience modernized authentic Javanese atmosphere for your stay, I am in love with their interior design choices!","Positive","Esther M",5,"Traveled with family","March 2020"
"Excellent hotel and hospitality. Officer are very kind and friendly, especially Mayang Who assist me so well. I stayed for 2 nights for business trip.   The food also very interisting and delicious and have many variation.  Tolak angin ice cream is very authentic","Positive","Wawe",5,"Traveled with family","March 2020"
"Good hotel with good hospitality, good breakfast with a lot of selection of food and wide range of food. Should try the famous es krim tolak angin and variety of jamu served at breakfast time. The welcome drink also served 2 kind of jamu and traditional food","Positive","mahendra",4,"Traveled with family","March 2020"
"Always come back, love this hotel, as i always wanted to be part of it and always have staycation. Wedding event is always be held. Swimming pool is always great. Cleanliness is always great and food are delicious","Positive","Luvena W",5,"Traveled with family","October 2019"
"Tentrem is always the best place to spend your quality time with family and friends.  Been always visiting Tentrem since the very beginning they opened in Jogja, everything has always been amazing.  Ebony lounge at tentrem is one of the coziest place to hang out and chill with friends and family.  The service is amazing. Ms.Dewi one of their assistants helped us to choose the menu kindly. It’s always been a good time here","Positive","G N",5,"Traveled on business","March 2020"
"Being in the hotel for three nights was a great choice that allowed us explore the surroundings and make day trip visits. Arif and Timothy were two of the great people we dealt with to book our tours with a great guide they recommend: Emanuel.  The hotel has wonderful high quality food and a great gym. We took yoga classes and enjoyed the available sauna and swimming pool.","Positive","Jumbalaia_Abitilini",5,"Traveled with family","February 2020"
"At 1st felt so stupid when got back at 18.00 my room still as I left at morning cause accidently press 'No Bother Button' at front. At 19.00 I left again and met the cleaning service and he asked permission if the room can be cleaned, I was so happy, even happier at about 8pm when came message to ask my permission to take the laundry. Right away I said YES. I got back to room at about 10pm but my laundry still on the floor. I sent back message with picture but they wanted to take it and I said NO. I was ready to close my eyes, but my room door was ringing at 11pm. So bother. When check out the hotel manager again said sorry about the laundry, but still felt not happy.","Negative","Maria S",3,"Traveled with family","March 2020"
"Hotel Tentrem has a great atmosphere but the feeling is not only coming from the elements of decoration but all the staff. I met Mayang when I tried jamu near to the coffee shop. She was really humble and details to inform the effect of wedang uwuh and beras kencur. Human capital development is one of the foundation to make every business are running-well. Thank you.","Positive","Aldo Sianturi",5,"Traveled with family","February 2020"
"Great harmony between javanese traditional culture & luxury hotel services. Staffs & facilities are excellent. Huge selection of breakfast also worth to try. Location is also perfect, in the middle of city center & airport.","Positive","bstfe",5,"Traveled with family","February 2020"
"Very comfortable place for relaxing Good view. Good services from the bartender and others,  Especially Meisi.  Greate place. Good and gracious people. Really recommended place for holiday or bussiness. Welldone","Positive","Yoga P",5,"Traveled on business","February 2020"
"The pool, food and ice cream are to die for.... Meisi the waitress provided us excellent service. She also recommended us a great places for sightseeing.  Thank you Meisi we appreciate your hospitality.","Positive","Budi P",5,"Traveled with family","February 2020"
"All service is good. But sadly, there's no Musholla in this hotel. And also this hotel didn't provide any extra blanket.  But overall.. good service.  Pleasure service from Mr. Fajar & Mr. Yoga.  Definitely will come back again","Positive","Coach A",4,"Traveled with family","February 2020"
"Bartender yoga excellent service... he make the cocktails very good the bar very clean, warm and good ambience i am very happy and i will come back to eboni bar one more , ,thanks to mr yoga.... See you next time","Positive","Andang",5,"Traveled with family","February 2020"
"This is our first stay, and we are very satisfied. Big room, super clean, great foods, a lot of choices foods on breafast, well services and kindly staff. We will definitely come back again to stay longer.","Positive","henny.novriany",5,"Traveled with family","February 2020"
"Best traditional bfast full of jamu oriented, with tolak angin jamu, trying jamu singset and tolak angin served by charming waitress Anggi and friendly bapak yg jaga stand kopi. The jamu looked like mud drink but well, thats jamu, its supposed to look like that, but the taste is not that bad<U+0001F61C><U+0001F923> The bfast has a vast variety of choices until you get confused, there was Bubur Manado, Bubur Madura (which by the way look totally different yah) The hotel is also nice, service is super","Positive","Janty Laelianus",5,"Traveled on business","February 2020"
"I stayed in hotel tentrem for school reunion, during which i am nothing but impressed with the service. Even when i was walking outside the hotel gate at early morning hour, one of the staff who just arrived for shift greeted me with a nice good morning.","Positive","Noviana W",5,"Traveled with family","February 2020"
"Highly Recommend Hotel in Yogyakarta.  Stay in Hotel for the whole time  Restaurant also highly recommend especially Summer Palace Chinese Restaurant. Thanks Oki for outstanding serving us during Lunch and Dinner  Great Breakfast in Kayu Manis Restaurant  Great Fitness equipment  ","Positive","iwandharmawan",5,"Traveled with family","February 2020"
"Spacious and clean  room...and big bed.. Breathe taking view.. and it has a patio.. So you can see the vuew and drink a cup of coffee From the room I can see the Merapi mountain.. The lounge is excellence...","Positive","Evy B",5,"Traveled with family","February 2020"
"Best beer ever. Thank you william for the best service you give.. over all the services was good, and the waitress was so polite and quick respond. Will come back soon enough and will try other beer cheers","Positive","fe f",5,"Traveled with family","February 2020"
"Food is delicious! Various traditional food and also healthy fresh juices. Staffs are also very helpful. One of the staff, Zainal was very nice and even offered us to get the food to the table. The swimming pool is also beautiful.","Positive","Dian Vita",5,"Traveled on business","February 2020"
"good breakfast with a variety of menu choices.  Thank you to Gressita, Naumi and Lucita who have served guests so well and friendly.  Tentrem Hotel with complete facilities deserves to be a choice when we visit Yogyakarta","Positive","Buky Wibawa",5,"Traveled with family","February 2020"
"ahmad dan syaiful very helpful too clean up our room. lovely to stay here. already stay in 5 nights, but i think the breakfast menu should be change at least in 2 day, for more variation and wish the spa get cheaper","Positive","Sarah N",5,"Traveled with family","February 2020"
"A wonderful stay; an oasis in the middle of the hustle bustle of the city. Very good services.  A very nice place to stay. I definitely recommend this hotel. Very elegant and the restaurants have good foods.","Positive","Heny_Animalista",5,"Traveled with family","February 2020"
"Im surprised that Tentrem made a buffet for only 200k, and the quality isn't compromised! The foods are delicious, the staffs are hospitable, and the atmosphere are pleasant. You should try this hotel if you planning to stay in Yogyakarta!","Positive","Richard Andriso... S",5,"Traveled with family","February 2020"
"The location is strategic. The restaurant has so many various of food and tasted delicious. Me & my husband love the scent of the hotel area. The cleanliness and services are awesome also. The room is quite big but has no proper mirror for dressing table and the electric socket also far from the mirror. So I have to straight my hair with the turned off TV as my mirror. Perhaps the interior designer is a guy tho :D","Positive","Anindyta K",5,"Traveled on business","February 2020"
"Frozen beers are amazing. Thanks for happy hour. Very friendly staff.Thanks to Mr Edy dan Ms Laras. The place is very cozy and comfortable. Especially ginger mojito is very delicious. And I like aromatheraphy in lobby the smell is good","Positive","Ardi A",5,"Traveled with family","February 2020"
"Very polite and friendly! Fantastic service! I enjoyed my stay very much at the tentrem hotel jogjakarta, was a pleasant stay! All the workers are very helpful as well. The breakfast is amazing with so many options!","Positive","Jessica N",5,"Traveled with family","February 2020"
"Wonderful hotel! Clean and comfortable, exceptional service from front desk. The manager Naomi is a jewel: she went above and beyond to accommodate. Good food and coffee selection. A few restaurants onsite to choose from and a pool with a view towards the horizon. Nice spa and a gym with ample equipment. The rooms are spacious and clean. Well designed bathrooms.","Positive","Hunter J",5,"Traveled with family","February 2020"
"hotel tentrem recommeded bgt, sama house keeping nya mantap, the best place for holiday with family,,tq mas rivan n mbak lisa buat room jadi rapiiii trs,,,tentrem,,,the best n nyaman bgt excellend for all of u in tentrem hotel.","Positive","anniefe21",5,"Traveled with family","February 2020"
"first impression of entering the hotel is amazed. spacious, clean and nice rooms. for breakfast is also varied and delicious. the service is also fast and friendly. I will definitely stay there again.","Positive","AndW14",5,"Traveled on business","February 2020"
"It was a good experience. I have my mother and father with me to enjoy the last satnite with them before I back to college life. The vibe is awesome for family. Food just OK not too great actually but okay it can make our tummy happy. O yea, the live music was the best! And the staff so friendly! Love to have another dinner next time!","Positive","Mashuri",5,"Traveled with family","February 2020"
"This hotel everything was good for Good hospitality and Good food and great service alao swimming pool very big I had an experience with anan the service was great in excecutive lounge. I wish i will be there next time.","Positive","stephen c",5,"Traveled with family","February 2020"
